Match_ID,Player_ID,Blind,Preflop,Flop,Turn,River,Showdown,Winner,PFRF,PlayerID,matches_played,matches_pfrf,pfrf_percent,num_wins,win_percent,c_t_bets_per,s_rat,cluster,normal_rating
#302187726,hITZjEBDFIt6lJqZ/v21fw,posts,returned,won,0,0,0,TRUE,0,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302187726,468IPLRNnM70CzKR7wjiIA,0,folds,0,0,0,0,FALSE,1,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302187726,J/MRE0h1byBxOS3nscCzRg,0,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302187726,ZvUzSVOOKZwfU5rLMFTUFg,0,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302187158,iiZwyGkuKmo3uwxjNnu1ng,posts,calls,calls,all-in,0,won,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302187158,54c64l5WMSZB3aVozJsbfw,posts,raises,bets,returned,0,shows,FALSE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302187821,2Ez5c6bXau0gBfNkgjka6w,0,raises,bets,checks,all-in,won,TRUE,1,2,60,51,0.85,9,0.15,14,0.233333333,0,0.033783784
#302187821,hITZjEBDFIt6lJqZ/v21fw,posts,calls,calls,checks,folds,0,FALSE,0,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302187821,468IPLRNnM70CzKR7wjiIA,posts,calls,calls,checks,returned,won,TRUE,0,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302187821,J/MRE0h1byBxOS3nscCzRg,0,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302187821,ZvUzSVOOKZwfU5rLMFTUFg,0,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302187821,V1tBWCstw/IRehRmisMDJg,0,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302187333,54c64l5WMSZB3aVozJsbfw,posts,folds,0,0,0,0,FALSE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302187333,iiZwyGkuKmo3uwxjNnu1ng,posts,0,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302187356,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
